"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-SWjd2VmpAWBXvNqnKYkfCB","LegalEntity","MGSB Holding Sdn Bhd","","","","","","2015-11-16","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-SsqzenvYy36vPJUYMauemc","LegalEntity","AVAPartner AVATrade","","","","","","2024-06-24","","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2026-09-12T20:56:02","2024-06-24T12:40:33"
"NK-VSgGaqksdADD9hHnBXuyA9","LegalEntity","Headway","","","","","","2024-10-01","","","","Malaysia Financial Consumer Alert List","2024-10-02T20:56:06","2026-09-12T20:56:02","2025-03-29T20:56:05"
"NK-WrEyPRxa5jpkeW7kESjGEH","LegalEntity","Questra World (QW)","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-XJXybLvwV7yYN6seQcuDkZ","LegalEntity","Instaforex","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-XQLTiAjFgkzuZdJRWFym4N","LegalEntity","FXZN Zenith Limited","FXZN Investment Limited;FXZN Zenith Management Limited","","","","","2014-12-30","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-XXr4MQXqnKp9cPwg3oncxV","LegalEntity","Ajuwah Agencies Sdn Bhd (966604-D)","Ajuwah Realty Sdn Bhd (966604-D)","","","","","2014-07-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-YFB8cw7bX3cfMfRPGR8sv3","LegalEntity","FBS Malaysia","","","","","","2017-07-31","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-06-24T12:40:33"
"NK-YfqXeBdpzj4tzSsopMBkzy","LegalEntity","UK Trade Online","","","","","","2021-01-29","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-ZFMCXpwWPMgPZ2fvonc5dk","LegalEntity","JAZ Million Resources","","","","","","2025","","","","Malaysia Financial Consumer Alert List","2025-08-28T20:56:03","2026-09-12T20:56:02","2025-08-28T20:56:03"
"NK-ZGBoBwz4hCwEjK2SGiQhJj","LegalEntity","Sanabil Investment","","","","","","2017-07-31","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-aaFQYjFYsnikTMZ5DWqhKC","LegalEntity","Lindale Ventures (003041846 – U)","","","","","","2020-06-22","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-bEQHb72CDQcav29PmgcrsM","LegalEntity","Emar Markets","","","","","","2024-06-24","","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2026-09-12T20:56:02","2024-06-24T12:40:33"
"NK-bTcm9qDBhEsfWdy97s3brz","LegalEntity","JustMarkets","","","","","","2024-06-24","","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2026-09-12T20:56:02","2024-06-24T12:40:33"
"NK-cYdJxEiPqyXHgkXgrFp3Wc","LegalEntity","Futurebarrel.com","","","","","","2013-11-12","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-cicDvo24hFNmivgLVfQtgL","LegalEntity","I Investment 254","","","","","","2024-06-24","","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2026-09-12T20:56:02","2024-06-24T12:40:33"
"NK-crnYZpsv2rHkTpydPAzwPi","LegalEntity","Kazuki Coin","","","","","","2018-05-30","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-eQGafjZg5RaJVW5ZVLMD9S","LegalEntity","Virgin Gold Mining Corporation","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-fPKstLPmueqXnwqHWmzUQK","LegalEntity","Azzad Islamic Investment Scheme","","","","","","2021-03-15","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-fV5H8CYtahou7pTgXhbpkz","LegalEntity","JJ Poor To Rich","","","","","","2017-02-24","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-gWxxC9QmSBTx96zY2LVvVX","LegalEntity","Global Asia FX","","","","","","2025-03-28","","","","Malaysia Financial Consumer Alert List","2025-12-27T20:56:02","2026-09-12T20:56:02","2025-12-27T20:56:02"
"NK-h7DiiKzKJBRdMGQf2TaLnU","LegalEntity","DGQEX","","","","","","2025","","","","Malaysia Financial Consumer Alert List","2025-12-27T20:56:02","2026-09-12T20:56:02","2025-12-27T20:56:02"
"NK-iQ7dfu23QCXRacUgt8P3RA","LegalEntity","Gemilang Jalur Pintar Enterprise","Jalur Gemilang Maju Enterprise (SA 0412058 - U)","","","","","2017-09-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-j2hEg8kHkV3Q69yoPML8As","LegalEntity","YDS Corporate Line Sdn Bhd (877697-P)","Kelab Kebajikan dan Sosial Tun Teja Malaysia;YDS Holding Groups Bhd (987797-T)","","","","","2013-05-02","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-jwuJzkNgMNd66MdtQjknyr","LegalEntity","CFAF Islamic","","","","","","2019-01-14","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-kVwNp6om6hEh9BtY2fzTKw","LegalEntity","Mining Guru.net","","","","","","2021-08-06","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-n6Gj3wehHoybED92DuBNfk","LegalEntity","Advantage Trader","","","","","","2021-03-15","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-n9KLynCK8P6SUwKVoECnVC","LegalEntity","Itradex","","","","","","2017-05-17","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-nTsxGKHBBCG6UihpQ2EVMs","LegalEntity","BTC Pelaburan Malaysia","","","","","","2022-03-10","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-nWMuRcMmtMZCC5g4RfSekL","LegalEntity","NordFX","","","","","","2023-09-14","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-00a24ba70447702168a8b98242a11164baa4c998","LegalEntity","Pollywood Scheme","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-00f67df975309188b69cfaadef34215b3cb116df","LegalEntity","PTFX","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-01c3e49d25efdde0adcda6e9536aeaa84d4be4de","LegalEntity","IronFX Solid Trading","","","","","","2015-10-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0208fcca20533b6099c0982ffe3b6b548d3052d5","LegalEntity","Iridian Ventures PLT (LLP0002569-LGN)","","","","","","2015-10-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-02e6e113ad7c859b8f8713a530165956b40b9cab","LegalEntity","FX Primus Ltd","","","","","","2015-12-23","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-04811a6dfd112321580d3ba6fcef89e2daf50136","LegalEntity","Global Creation Trading","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-05ab3423605800175491aad078f557c4b01f16b4","LegalEntity","XOC7","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-05bb457478ab1bc9230c56ccee4c2a3d0c558dd6","LegalEntity","Preferred Credentials Sdn Bhd","","","","","","2013-01-23","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-066e5d673defc632801b5b1b2fc51bdfaa310398","LegalEntity","Keenan Brilliant Services (002021597-V)","","","","","","2014-07-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-067f245a5cd0cdc613c14e60b9d46388245f9af0","LegalEntity","Pok Din Empire Sdn Bhd (1130978-D)","","","","","","2016-05-27","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-06a9d8cbdc547b95484dde1523a437f97fbb6614","LegalEntity","MOP Consultant Sdn. Bhd (101867-W)","","","","","","2015-10-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0765256f67fdad6984385d9b1a8a553af320636b","LegalEntity","Richway Global Venture","","","","","","2017-05-17","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-07d67767679f7c97cea99a71be24dd29aec2b9d5","LegalEntity","Amazing Yields Sdn Bhd (891529-V)","","","","","","2013-01-23","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0898cc546d90f6f20860fd82089f72ee80f0db58","LegalEntity","BDIG Investment Scheme","","","","","","2018-07-11","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0982ad7245dd83173e3e940db049796991ebdf63","LegalEntity","Build Rich Investment Group Ltd","","","","","","2014-02-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0a014ff8a8bb83c66a4d871ea26e85606e60e229","LegalEntity","Mi1 Global Sdn Bhd (1145697-X)","","","","","","2017-01-09","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0a1081f3b3b9e204c4fff7f7f8e08eebd7d19ec6","LegalEntity","Family Wealth Resources (SA0310508-M)","","","","","","2015-10-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0a7ac8f86e41b5db3eb640716c7038bbc82071c7","LegalEntity","Tradeview Capital Sdn Bhd (potential clone entity)","","","","","","2025","","","","Malaysia Financial Consumer Alert List","2025-12-27T20:56:02","2026-09-12T20:56:02","2025-12-27T20:56:02"
"my-ale-0b409dcc1bf7fe2245b9928100f8bf7cdc452266","LegalEntity","Aneka Construction Trading","","","","","","2024-01-23","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0b9f8e6ce634914f60d8b634db4c858efd114ff4","LegalEntity","WMS Global Services (PG0402301-M)","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0c1e3258ddcc51e555f2d7e53944f4d7a455ddc2","LegalEntity","Mughniwave International Sdn. Bhd. (1163697-W)","","","","","","2016-09-15","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0c3e8610382b56f9ade98576ce8dee124a2db1a7","LegalEntity","Muhibah Yatu Investment","","","","","","2021-08-06","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0db9e5c3112ca5173d020d7cd3cfb82a5599b03e","LegalEntity","Puncak Hartawan Resources (0000097980-T)","","","","","","2014-07-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0e2d97ca5ecc043fee2bfe1e939cb3ce530aad45","LegalEntity","Nexgain Malaysia Sdn Bhd (773854-D)","","","","","","2013-03-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0e2f617560178d26e1b763f79185b30d7208c67f","LegalEntity","Harvest Reliance Consultancy Sdn Bhd (965589-W)","","","","","","2013-05-02","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0ea8f8658ce68bd873969a5f66ba9055f8e317d7","LegalEntity","M Advisory (potential clone entity)","","","","","","2025","","","","Malaysia Financial Consumer Alert List","2025-08-28T20:56:03","2026-09-12T20:56:02","2025-08-28T20:56:03"
"my-ale-0fbaabcbd6d5cc5d43e924af1ded43a9a1c9bf03","LegalEntity","Arba Emas Perak (SA0280035-A)","","","","","","2015-05-14","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-0fc11bbe812951b3f24e7edc76beadb73b4d88af","LegalEntity","Dream Success International Sdn Bhd (1002002-P)","","","","","","2013-09-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-104cba337edc3bda8cabadb5b8eb32f1cffa1b48","LegalEntity","Fortrend International Sdn Bhd (876619-X)","","","","","","2015-09-01","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-104df62a5134487c4909641c099ccbcbdc9d1b1f","LegalEntity","Richway Green Venture (PG0406414M)","","","","","","2017-06-29","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-10538a28b6134686cc90b23881b9eefc5bbfe8eb","LegalEntity","MBI International Sdn Bhd (873323-V)","","","","","","2017-05-22","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-11067ccb64ec14e672862ea1c7fefecf6ec39b3e","LegalEntity","Future Trade Indojaya Sdn Bhd (1003327-P)","","","","","","2012-09-27","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-119c29bc786b5e5a0269a405951cf01bdcede97a","LegalEntity","Adwise Capital Sdn Bhd (potential clone entity)","","","","","","2025","","","","Malaysia Financial Consumer Alert List","2025-08-28T20:56:03","2026-09-12T20:56:02","2025-08-28T20:56:03"
"my-ale-11a8ae210fb5e3d139cfd3dd32e1d3f41643bded","LegalEntity","Mayuni Enterprise","","","","","","2018-02-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-11b723196778a529ef7233d40104da61a3e7ed00","LegalEntity","Triple One Management Pte Ltd ( T1FX)","","","","","","2016-02-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-124aec86d445c7033cc236e92a8e5c65e1c4e43d","LegalEntity","CryptoDaily Investment Packages","","","","","","2017-09-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1256d8ac6d60f1c55eb1f947ef91dd1a6c5304cd","LegalEntity","Fruits LT Ventures","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-155625bf6267aaf6539060f64e5b8677f97357bf","LegalEntity","CFWA Capital Business (002665083V)","","","","","","2019-01-14","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-15b2b824931870ab999a7437959d229fdc3e3403","LegalEntity","Versa Investment (Not related to Versa Asia Sdn Bhd)","","","","","","2025-03-28","","","","Malaysia Financial Consumer Alert List","2025-03-29T20:56:05","2026-09-12T20:56:02","2025-03-29T20:56:05"
"my-ale-16b7b6d18587f60d1051cb16ef47165cfe62b940","LegalEntity","Pelaburan Hijau Manulife 122 (potential clone entity)","","","","","","2026","","","","Malaysia Financial Consumer Alert List","2026-08-05T20:56:02","2026-09-12T20:56:02","2026-08-05T20:56:02"
"my-ale-1739108d81f3f291773380515a9b22baab5e0332","LegalEntity","SV International Sdn Bhd (1169355-K)","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-178928e36c19bb95058ca95ed2b0c805f0a4affa","LegalEntity","Windsor Fragrance Sdn Bhd (599208-H)","","","","","","2014-10-20","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-187bc4dff1c3120579c0c9e292bc02f7a962eb87","LegalEntity","1Gold.com.my","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-188bffc40a2f46342b666cae4de947ff85397b23","LegalEntity","V Sim Marketing (002283635 - U)","","","","","","2017-09-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1963ad0ed09bd80e76d5d1be4b0666c83f9980d9","LegalEntity","GM Trader","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-19a80b45871a61b4b7b1a1a5f56c790269701954","LegalEntity","Life Time Holidays Sdn Bhd (727129-U)","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-19f3d7430111b3c435418b218bf3a74b2b2a6c6b","LegalEntity","SV International Scheme","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1a69498487de5fcdf51cbf28641448b90f6eae18","LegalEntity","Premier FX Malaysia","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1aa2143afe899c08bb53554452f033e386b9f3b0","LegalEntity","Kris Plus Enterprise (IP0238424-A)","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1b0234f32b1733d5d8c4da12df5e5ca66484e7a9","LegalEntity","BC Academy Sdn Bhd","","","","","","2017-05-17","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"my-ale-1b30776cf936b3c116a96869b3ea4430bcc2a1a4","LegalEntity","FA Markets","","","","","","2013-05-02","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
